#,entity_code,entity_name,license_number,bill_date,etin,brand_name,package_size,package_type,Plan Id,sold_qty
74,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-08,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023202,125
75,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-09,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,222
76,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-10,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,174
77,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-11,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,176
78,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-12,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,177
79,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-13,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,135
80,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-14,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,178
81,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-15,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,133
82,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-16,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,178
83,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-17,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,132
84,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-18,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,166
85,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-19,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,129
86,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-20,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,174
87,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-21,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,178
88,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-22,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,178
89,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-23,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,90
90,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-24,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,173
91,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-25,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,174
92,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-26,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,178
93,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-27,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,180
94,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-28,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,132
95,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-29,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,176
96,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-30,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,128
97,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-07-31,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,126
98,24080025,M/s Sri Ganapathi Wines Bhavanipuram,RETAIL24080025,2025-08-01,SIRIS0110732140401800N26001545FLKAN1105060024,Siri 's Sentini Special,180,Glass Bottle,BOTTELING_PLAN_1023757,42
